card_id,name,set,number,finish,pay_low_usd,pay_high_usd,pay_source,trust,sales_behind_mark,listings_now,sellers_now,listings_as_of,nm_usd,lp_usd,conflict_ratio
ex15-61,ex15-61,,61,normal,1.35,1.75,book,green,46,7,6,2026-08-04,1.1182133132000107,1.995,
ex15-61,ex15-61,,61,reverse_holo,29,50,book,red,0,4,4,2026-08-04,1.35,35.0,0.03
pl4-1,Charizard,Arceus,1,holo,52,70,book,red,0,28,26,2026-08-04,29.125,43.1504925,0.48
pl4-1,Charizard,Arceus,1,reverse_holo,21,60,book,conflict,5,5,5,2026-08-04,4.99,42.84724965,0.12
pl4-12,Zapdos G,Arceus,12,holo,7.75,15,book,green,26,13,12,2026-08-04,19.18575685313478,14.797,
pl4-12,Zapdos G,Arceus,12,reverse_holo,47,82,book_thin,red,0,2,1,2026-08-04,31.14,13.897000000000002,
pl4-4,Kabutops,Arceus,4,holo,9.75,14,book,green,33,21,18,2026-08-04,16.059723276150997,36.816,
pl4-4,Kabutops,Arceus,4,reverse_holo,7.24,15,book,red,0,4,4,2026-08-04,24.855665275,8.461500000000001,2.19
pl4-59,Charmander,Arceus,59,normal,2.44,4.49,book,amber,56,12,12,2026-08-04,2.340172086372777,2.26,
pl4-59,Charmander,Arceus,59,reverse_holo,80,90,book,amber,4,4,3,2026-08-04,52.943128658,42.99,
pl4-60,Cherubi,Arceus,60,normal,2.38,2.69,book,amber,61,9,7,2026-08-04,1.6363699313791877,2.45,
pl4-60,Cherubi,Arceus,60,reverse_holo,6.83,12,book,green,7,4,2,2026-08-04,15.1104,9.597000000000001,
pl4-64,Gastly,Arceus,64,normal,1.5,1.97,book,conflict,32,13,9,2026-08-04,0.49463216707883145,2.255,0.29
pl4-64,Gastly,Arceus,64,reverse_holo,11,18,book,green,5,6,6,2026-08-04,15.99,16.555,
pl4-71,Pikachu,Arceus,71,normal,4.99,5.91,book,green,105,22,20,2026-08-04,6.266395064140286,4.94,
pl4-71,Pikachu,Arceus,71,reverse_holo,5.06,6.9,book,conflict,4,52,46,2026-08-11,35.25,34.406,5.89
pl4-75,Snorunt,Arceus,75,normal,3.15,3.5,book,green,53,5,4,2026-08-04,2.8508792937206127,2.7375000000000003,
pl4-75,Snorunt,Arceus,75,reverse_holo,15,15,book_thin,red,0,1,1,2026-08-04,21.54,27.375,
pl4-8,Salamence,Arceus,8,holo,6.0,12,book,green,27,11,11,2026-08-04,10.147072043368981,7.017,
pl4-8,Salamence,Arceus,8,reverse_holo,6.75,17,book,amber,3,4,4,2026-08-04,14.0943,7.728000000000001,
bw7-67,Cresselia-EX,Boundaries Crossed,67,holo,6.3,9.25,book,conflict,13,16,13,2026-08-04,16.432799290408024,7.143,2.11
ex14-1,Banette,Crystal Guardians,1,holo,8.0,10,book,amber,18,22,17,2026-08-11,9.534982825242974,10.77,
ex14-1,Banette,Crystal Guardians,1,reverse_holo,15,21,book,red,0,4,4,2026-08-04,21.955,26.529,
ex14-10,Sableye,Crystal Guardians,10,holo,43,73,book,green,14,6,6,2026-08-04,55.3209706568785,35.123999999999995,
ex14-10,Sableye,Crystal Guardians,10,reverse_holo,160,210,book,red,0,3,2,2026-08-04,55.52,70.0,0.3
ex14-11,Swalot,Crystal Guardians,11,holo,8.84,11,book,amber,17,18,13,2026-08-04,8.922534455319528,7.407,
ex14-11,Swalot,Crystal Guardians,11,reverse_holo,37,40,book,red,0,6,3,2026-08-04,25.060000000000002,14.269500000000003,
ex14-12,Tauros,Crystal Guardians,12,holo,15,22,book,green,30,10,10,2026-08-04,20.149956115505333,10.984500000000002,
ex14-12,Tauros,Crystal Guardians,12,reverse_holo,30,64,book,conflict,3,8,4,2026-08-04,19.5821,19.989,0.42
ex14-13,Wigglytuff,Crystal Guardians,13,holo,12,18,book,green,35,11,9,2026-08-04,23.744277674290224,8.99,
ex14-13,Wigglytuff,Crystal Guardians,13,reverse_holo,20,34,book,amber,3,8,6,2026-08-04,34.5588,22.136000000000003,
ex14-15,Cacturne δ,Crystal Guardians,15,holo,2.49,3.49,book,conflict,3,27,24,2026-08-04,23.294800000000002,1.51,7.79
ex14-15,Cacturne δ,Crystal Guardians,15,normal,1.53,2.06,mark,green,13,2,2,2026-08-04,1.7946894848580015,1.942,
ex14-15,Cacturne δ,Crystal Guardians,15,reverse_holo,17,24,book,amber,3,7,5,2026-08-04,19.330199999999998,16.99,
ex14-2,Blastoise δ,Crystal Guardians,2,holo,120,160,book,green,21,19,17,2026-08-04,227.48288451123335,146.318,
